Route,N,%
OAK-AP_N-CME to MNH-AP_N-BirdLab,3,1.3100436681223
CMA-AP_N-ScaifeD17 to OAK-AP_N-GreenRight,3,1.3100436681223
OAK-AP_N-GreenLeft to OAK-AP_N-GreenRight,3,1.3100436681223
OAK-AP_N-CME to CMA-AP_N-CoatRoom,2,0.87336244541485
CMA-AP_N-AOTA to OAK-AP_N-CME,1,0.43668122270742
CMA-AP_N-Library to CMA-AP_N-ScaifeD11,1,0.43668122270742
CMA-AP_N-AOTA to OAK-AP_N-Portal,1,0.43668122270742
MNH-AP_N-IZ to OAK-AP_N-SimmonsCeiling,1,0.43668122270742
OAK-AP_N-FossilFuels to OAK-AP_N-Portal,1,0.43668122270742
OAK-AP_N-Portal to CMA-AP_N-ScaifeD17,1,0.43668122270742
CMA-AP_N-ScaifeD11 to CMA-AP_N-AOTA,1,0.43668122270742
OAK-AP_N-SimmonsCeiling to MNH-AP_N-VP,1,0.43668122270742
OAK-AP_N-MH-TicketOffice to OAK-AP_N-GreenRight,1,0.43668122270742
CMA-AP_N-Library to OAK-AP_N-GrandStaircase,1,0.43668122270742
OAK-AP_N-GrandStaircase to OAK-AP_N-ParhurstMeetingRoom,1,0.43668122270742
OAK-AP_N-GreenLeft to OAK-AP_N-MH-TicketOffice,1,0.43668122270742
OAK-AP_N-CME to OAK-AP_N-ParhurstMeetingRoom,1,0.43668122270742
CMA-AP_N-ScaifeD2 to MNH-AP_N-BirdLab,1,0.43668122270742
OAK-AP_N-GrandStaircase to CMA-AP_N-HACOffice,1,0.43668122270742
CMA-AP_N-ScaifeD17 to OAK-AP_N-ParhurstMeetingRoom,1,0.43668122270742
MNH-AP_N-BirdLab to CMA-AP_N-Heinz-Front,1,0.43668122270742
CMA-AP_N-ScaifeD17 to OAK-AP_N-CME,1,0.43668122270742
CMA-AP_N-CoatRoom to OAK-AP_N-ParhurstMeetingRoom,1,0.43668122270742
MNH-AP_N-B_L-Hall to CMA-AP_N-ScaifeD17,1,0.43668122270742
CMA-AP_N-ScaifeD17 to OAK-AP_N-GreenLeft,1,0.43668122270742
4615-AP_N-Finance to OAK-AP_N-FossilFuels,1,0.43668122270742
OAK-AP_N-MH-TicketOffice to CMA-AP_N-ScaifeD17,1,0.43668122270742
CMA-AP_N-CMATheater to MNH-AP_N-BirdLab,1,0.43668122270742
MNH-AP_N-BirdLab to CMA-AP_N-ScaifeD14,1,0.43668122270742
MNH-AP_N-EarthTheater to 4615-AP_N-Finance,1,0.43668122270742
CMA-AP_N-Heinz-Front to OAK-AP_N-Portal,1,0.43668122270742
OAK-AP_N-Portal to CMA-AP_N-Library,1,0.43668122270742
OAK-AP_N-GrandStaircase to OAK-AP_N-CME,1,0.43668122270742
CMA-AP_N-CMATheater to CMA-AP_N-Library,1,0.43668122270742
CMA-AP_N-Library to CMA-AP_N-CoatRoom,1,0.43668122270742
CMA-AP_N-BalconyGallery to OAK-AP_N-CME,1,0.43668122270742
Total,43,18.777292576419
